mgi_symbol,hgnc_symbol
Sympk,SYMPK
Tex13a,TEX13B
Zbtb14,ZBTB14
Layn,LAYN
Dennd5a,DENND5A
Ascc2,ASCC2
Mettl6,METTL6
Taco1,TACO1
Hba-a1,HBA2
Hba-a1,HBA1
Gcnt2,GCNT2
Hist2h2be,HIST1H2BJ
Gpr68,GPR68
Vma21-ps,VMA21
Lipi,LIPI
Wdr70,WDR70
Cdh13,CDH13
Ly6d,LY6D
Carhsp1,CARHSP1
Abcb6,ABCB6
Fam26d,CALHM4
Grp,GRP
Cmpk2,CMPK2
Abra,ABRA
Pmp2,PMP2
Gfra1,GFRA1
Pgc,PGC
Zc3h6,ZC3H6
Fam173b,FAM173B
Fam53c,FAM53C
Ascc3,ASCC3
Rtbdn,RTBDN
Fbxo11,FBXO11
Nhs,NHS
Nkx1-1,NKX1-1
Golt1b,GOLT1B
Irf1,IRF1
Chd5,CHD5
Cacng3,CACNG3
Fgf6,FGF6
Skida1,SKIDA1
Nmrk1,NMRK1
Ncln,NCLN
Styxl1,STYXL1
Svil,SVIL
Mid1,MID1
Fabp9,FABP9
Nsg1,NSG1
Il7r,IL7R
Efna2,EFNA2
Fabp1,FABP1
P3h3,P3H3
Rab11fip3,RAB11FIP3
Stmn4,STMN4
Crhr1,LINC02210-CRHR1
Mnat1,MNAT1
Mgea5,OGA
Angpt1,ANGPT1
Hba-a2,HBA2
Hba-a2,HBA1
Lingo2,LINGO2
Fbxw26,FBXW12
Rpusd2,RPUSD2
Cpne3,CPNE3
Tubal3,TUBAL3
Mrgprb5,MRGPRX2
Cadm1,CADM1
Gm44596,NRIP2
Glra2,GLRA2
Spock1,SPOCK1
Fam124b,FAM124B
Prex1,PREX1
Cyp1a1,CYP1A1
Ucn3,UCN3
Zfp638,ZNF638
Hist1h2bk,HIST1H2BK
Nup98,NUP98
Cdk11b,CDK11A
Fam53a,FAM53A
Gm28041,ZNF720
Slc25a25,SLC25A25
Olfr63,OR10H3
Ly6h,LY6H
Hs6st3,HS6ST3
Cdhr3,CDHR3
Acaa2,ACAA2
Cope,COPE
Gm5519,NUDT15
Pycard,PYCARD
Pycard,PYDC1
Dock9,DOCK9
Cramp1l,CRAMP1
Carmil2,CARMIL2
Gm6657,CCDC196
Tmem130,TMEM130
Pdzd9,PDZD9
Ermp1,ERMP1
Olfr1415,OR6B2
Olfr1415,OR6B3
Uqcrc2,UQCRC2
Cast,CAST
Dst,DST
Fchsd1,FCHSD1
Rhob,RHOB
Pate3,PATE3
Magea10,MAGEA4
Hps1,HPS1
Uggt2,UGGT2
Cenpw,CENPW
Asb13,ASB13
Adam7,ADAM7
Rpia,RPIA
Cep78,CEP78
Cuedc1,CUEDC1
Pbx2,PBX2
Psmd13,PSMD13
Mageh1,MAGEH1
Chrna10,CHRNA10
Large2,LARGE2
Tdrp,TDRP
Ranbp2,RANBP2
Bub1,BUB1
Ccl7,CCL7
Pcf11,PCF11
Atxn7l1,ATXN7L1
Ccdc47,CCDC47
Hibadh,HIBADH
Jpt2,JPT2
H13,HM13
Abcb4,ABCB4
Asic4,ASIC4
Cst6,CST6
Cox7b,COX7B
Capsl,CAPSL
Prss16,PRSS16
Krt26,KRT26
Herpud1,HERPUD1
Vwa8,VWA8
Gm20509,KHDC3L
Gm28044,ZNF720
Gm7697,POTEB2
Ly6e,LY6E
Alg1,ALG1
Ube2a,UBE2A
Smyd5,SMYD5
Slc25a53,SLC25A53
Gm45785,BET1L
Tmem41b,TMEM41B
Fto,FTO
Serpinb3a,SERPINB4
Myzap,MYZAP
Ccl4,CCL4L2
Agbl5,AGBL5
Hist1h1t,HIST1H1T
Arfgap2,ARFGAP2
Lman1,LMAN1
Pgam1,PGAM1
Seh1l,SEH1L
Irs1,IRS1
Bhlhe41,BHLHE41
Hapln1,HAPLN1
Macrod1,MACROD1
Jazf1,JAZF1
Rims2,RIMS2
Sdc1,SDC1
2410004P03Rik,C2orf50
Bcl2l12,BCL2L12
Wfdc8,WFDC8
Mknk2,MKNK2
Luzp2,LUZP2
Mapk3,MAPK3
Dsp,DSP
Stam,STAM
Serpinb3d,SERPINB4
Ddx43,DDX43
Tmem147,TMEM147
Adamtsl1,ADAMTSL1
Ctcf,CTCF
Sh3gl2,SH3GL2
Zfp366,ZNF366
Tmem132e,TMEM132E
Epb41l3,EPB41L3
Ccdc182,CCDC182
Slc15a1,SLC15A1
6030458C11Rik,C5orf22
Usp51,USP51
Gtf2h1,GTF2H1
Anapc4,ANAPC4
Scnn1g,SCNN1G
Habp2,HABP2
Scg5,SCG5
Lca5l,LCA5L
L2hgdh,L2HGDH
Cacng4,CACNG4
Ipcef1,IPCEF1
Lcn6,LCN6
Sbsn,SBSN
Cdkl1,CDKL1
Txn1,TXN
Mypop,MYPOP
Clpx,CLPX
Tax1bp1,TAX1BP1
Siglech,SIGLEC6
Lars,LARS
Eif2ak1,EIF2AK1
C4b,C4B
Mettl16,METTL16
Hoxd10,HOXD10
Hyls1,HYLS1
Abcb1a,ABCB1
Ndufs7,NDUFS7
Pcsk1,PCSK1
C2cd6,C2CD6
Spint3,SPINT3
Cbl,CBL
Gm20716,DPM1
Tfam,TFAM
Flii,FLII
Snrnp200,SNRNP200
Xpa,XPA
